Reasoning,Bias Rating,Factual Reporting,Country,MBFC’s Country Freedom Rating,Media Type,Traffic/Popularity,MBFC Credibility Rating,source_link,source_domain,granular_rating,category,Questionable Reasoning,Press Freedom Rating,MBFC’s Freedom Rating,Country Press Freedom Rating,MBFC’s Country Freedom Rank,Press Freedom Rank,MBFC’s Press Freedom Rating,MBFC Country Freedom Rank,Questionable  Reasoning,Bias,MBFC Country Freedom Rating,MBFC’s CountryFreedom Rating,World Press Freedom Rank
"Propaganda, Anti-LGBT",EXTREME RIGHT,LOW,USA,MOSTLY FREE,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://www.adflegal.org/,adflegal,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright031.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://adamscountytimes.com/,adamscountytimes,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",MOSTLY FREE,,,,,,,,,,,
"Poor Sourcing, False Claims, Misinformation",RIGHT,LOW,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://www.avoiceformen.com/,avoiceformen,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/right081.png?resize=600%2C67&ssl=1,fake-news,,,MOSTLY FREE,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,MOSTLY FREE,Website,Minimal Traffic,LOW CREDIBILITY,https://businessdailynetwork.com/states/al,businessdailynetwork,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",,,,,,,,,,,,
,EXTREME RIGHT,LOW,USA,MOSTLY FREE,Website,Medium Traffic,LOW CREDIBILITY,https://100percentfedup.com/,100percentfedup,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright041.png?resize=600%2C67&ssl=1,fake-news,"Propaganda, Poor Sourcing, Failed Fact Checks, Lack of Transparency",,,,,,,,,,,,
,EXTREME   RIGHT,VERY  LOW,Unknown,,Website,Minimal Traffic,LOW CREDIBILITY,https://2020conservative.com/,2020conservative,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright021.png?resize=600%2C67&ssl=1,fake-news,"Propaganda, Conspiracy, Poor Sourcing, False Claims, Lack of Transparency",,,,,,,,,,,,
,RIGHT-CENTER,LOW,Cameroon,,Website,Minimal Traffic,LOW CREDIBILITY,https://www.24jours.com/,24jours,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter091.png?resize=600%2C67&ssl=1,fake-news,"Conspiracy, Fake News, Poor Sourcing, Lack of Transparency",LIMITED FREEDOM,,,,,,,,,,,
,EXTREME RIGHT,LOW,USA,MOSTLY FREE,Website,Minimal Traffic,LOW CREDIBILITY,https://elizabethjohnston.org/,elizabethjohnston,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright021.png?resize=600%2C67&ssl=1,fake-news,"Conspiracy Theories, Pseudoscience, Propaganda, Fake News, Failed Fact Checks, Third Party Hate Designation",,,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,MOSTLY FREE,Website,Minimal Traffic,LOW CREDIBILITY,https://abqtimes.com/,abqtimes,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",,,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,MOSTLY FREE,Website,Minimal Traffic,LOW CREDIBILITY,https://akronreporter.com/,akronreporter,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",,,,,,,,,,,,
,,,,,,,,https://www.americansarepissed.com/,americansarepissed,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright031.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
"Poor Sourcing, Propaganda, Lack of Transparency, Hate Group",RIGHT-CENTER,MIXED,Lebanon,,TV Station,Medium Traffic,LOW CREDIBILITY,https://english.almanar.com.lb,almanar,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,,LIMITED FREEDOM,,,,,,,,,,,
,NOT RATED,VERY LOW,Unknown,,Website,Minimal Traffic,LOW CREDIBILITY,http://actionnews3.com,actionnews3,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2020/02/MBFCVeryLow.png?resize=361%2C124&ssl=1,fake-news,"Fake News, Lack of Transparency, Imposter",,,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://albanystandard.com/,albanystandard,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",MOSTLY FREE,,,,,,,,,,,
"Propaganda, Conspiracy, Poor Sourcing, False Claims, Lack of Transparency",EXTREME RIGHT,LOW,USA,,Organization/Foundations,Minimal Traffic,LOW CREDIBILITY,https://americanprinciplesproject.org/,americanprinciplesproject,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright031.png?resize=600%2C67&ssl=1,fake-news,,MOSTLY FREE,,,,,,,,,,,
"Conspiracy, Propaganda, Lack of Ownership Transparency, Failed Fact Checks",EXTREME RIGHT,LOW,USA,MOSTLY FREE,Website,Medium Traffic,LOW CREDIBILITY,https://www.americanthinker.com,americanthinker,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright051.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
"Hate Group, Propaganda, Pseudoscience",EXTREME RIGHT,LOW,USA,,Website,Medium Traffic,LOW CREDIBILITY,https://www.amren.com,amren,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright061.png?resize=600%2C67&ssl=1,fake-news,,,,MOSTLY FREE,,,,,,,,,
,EXTREME RIGHT,LOW,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://www.amerika.org/,amerika,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright041.png?resize=600%2C67&ssl=1,fake-news,"Propaganda, Conspiracy, Lack of Transparency",MOSTLY FREE,,,,,,,,,,,
,LEFT-CENTER,MIXED,Unknown,N/A,Website,Minimal Traffic,LOW CREDIBILITY,https://aguascalientesdailypost.com/,aguascalientesdailypost,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter02.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, Poor Sourcing, Plagiarism",,,,,,,,,,,,
,FAR RIGHT,LOW,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://americafirstreport.com/,americafirstreport,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/right011.png?resize=600%2C67&ssl=1,fake-news,"Poor Sourcing, Conspiracy Theories, Propaganda, False/Unproven Claims",,,,MOSTLY FREE,,,,,,,,
,FAR RIGHT,LOW,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://www.americaoutloud.news/,americaoutloud,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/right011.png?resize=600%2C67&ssl=1,fake-news,"Poor Sourcing, Conspiracy Theories, Propaganda, Pseudoscience, False Claims, Lack of Transparency",,,,MOSTLY FREE,,,,,,,,
,RIGHT-CENTER,MIXED,Saudi Arabia,,TV Station,High Traffic,LOW CREDIBILITY,https://english.alarabiya.net/,alarabiya,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter031.png?resize=600%2C67&ssl=1,fake-news,"Poor Sourcing, State Propaganda",,,,TOTAL OPPRESSION,,,,,,,,
"Conspiracy Theory, Propaganda, Failed Fact Check",RIGHT-CENTER,LOW,USA,MOSTLY FREE,Website,Medium Traffic,LOW CREDIBILITY,https://allnewspipeline.com/,allnewspipeline,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright041.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
,EXTREME RIGHT,LOW,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://americanmediaperiscope.com/,americanmediaperiscope,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright041.png?resize=600%2C67&ssl=1,fake-news,"Propaganda, Conspiracy, Pseudoscience, Poor Sourcing, Failed Fact Checks, Lack of Transparency",MOSTLY FREE,,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://antelopevalleytoday.com/,antelopevalleytoday,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",MOSTLY FREE,,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://americansecuritynews.com/,americansecuritynews,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",MOSTLY FREE,,,,,,,,,,,
,FAR RIGHT,LOW,USA,,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://afn.net/,afn,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/right011.png?resize=600%2C67&ssl=1,fake-news,"Conspiracy Theories, Propaganda, Numerous Failed Fact Checks",,,,,MOSTLY FREE,,,,,,,
"Hate Group, Christian Propaganda, Conspiracy, Poor Sourcing, Lack of Transparency, Failed fact checks.",EXTREME RIGHT,LOW,USA,MOSTLY FREE,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.afa.net/,afa,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright051.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
,FAR RIGHT,LOW,USA,,Website,Minimal Traffic,LOW CREDIBILITY,"americanpartisan.org
",americanpartisan,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/right011.png?resize=600%2C67&ssl=1,fake-news,"Poor Sourcing, Conspiracy Theories, Propaganda, False Claims, Lack of Transparency",,,,,MOSTLY FREE,,,,,,,
,RIGHT-CENTER,MIXED,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://alohastatenews.com/,alohastatenews,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",MOSTLY FREE,,,,,,,,,,,
